"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","203","Submit form with valid data (without real submit)","","Sun Mar 08 23:32:02 UTC 2026","broken","Sun Mar 08 23:32:02 UTC 2026","","Contact form validation (Happy path only)","Submit form with valid data (without real submit)",""
"","0","invalidEmailFormatValidationTest","UI Suite","Sun Mar 08 23:32:02 UTC 2026","skipped","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","invalidEmailFormatValidationTest"
"","1","searchForNonExistentPropertyTest","UI Suite","Sun Mar 08 23:32:02 UTC 2026","skipped","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","searchForNonExistentPropertyTest"
"","0","verifySearchFunctionality","UI Suite","Sun Mar 08 23:32:02 UTC 2026","skipped","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"  As a visitor
  I want to submit the contact form without filling any fields
  So that I can see proper validation error messages","173","Submit form with empty required fields","","Sun Mar 08 23:32:02 UTC 2026","broken","Sun Mar 08 23:32:02 UTC 2026","","Contact form validation - empty required fields","Submit form with empty required fields",""
"","0","successfullSearchAndContactFlowTest","UI Suite","Sun Mar 08 23:32:02 UTC 2026","skipped","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.e2e.SearchAndContactTest","E2E","seleniumtestng.e2e.SearchAndContactTest","successfullSearchAndContactFlowTest"
"","1","setUp","UI Suite","Sun Mar 08 23:32:01 UTC 2026","broken","Sun Mar 08 23:32:01 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","setUp"
"","170","Invalid email or phone shows proper error","","Sun Mar 08 23:32:02 UTC 2026","broken","Sun Mar 08 23:32:03 UTC 2026","","Contact form - invalid inputs (email/phone)","Invalid email or phone shows proper error",""
"","1","verifySearchFunctionality","UI Suite","Sun Mar 08 23:32:02 UTC 2026","skipped","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","0","setUp","UI Suite","Sun Mar 08 23:32:02 UTC 2026","broken","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.e2e.SearchAndContactTest","E2E","seleniumtestng.e2e.SearchAndContactTest","setUp"
"","2","setUp","UI Suite","Sun Mar 08 23:32:01 UTC 2026","broken","Sun Mar 08 23:32:01 UTC 2026","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","setUp"
"","1","verifySearchFunctionality","UI Suite","Sun Mar 08 23:32:02 UTC 2026","skipped","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","1","emptyRequiredFieldsValidationTest","UI Suite","Sun Mar 08 23:32:02 UTC 2026","skipped","Sun Mar 08 23:32:02 UTC 2026","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","emptyRequiredFieldsValidationTest"
