"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a visitor
  I want to submit the contact form without filling any fields
  So that I can see proper validation error messages","4947","Submit form with empty required fields","","2026-08-11","passed","2026-08-11","","Contact form validation - empty required fields","Submit form with empty required fields",""
"","5383","invalidEmailFormatValidationTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","invalidEmailFormatValidationTest"
"","5793","Submit form with valid data (without real submit)","","2026-08-11","passed","2026-08-11","","Contact form validation (Happy path only)","Submit form with valid data (without real submit)",""
"","5324","searchForNonExistentPropertyTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","searchForNonExistentPropertyTest"
"","3690","verifySearchFunctionality","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","10554","successfulSearchAndContactFlowTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.e2e.SearchAndContactTest","E2E","seleniumtestng.e2e.SearchAndContactTest","successfulSearchAndContactFlowTest"
"","5314","Invalid email or phone shows proper error","","2026-08-11","passed","2026-08-11","","Contact form - invalid inputs (email/phone)","Invalid email or phone shows proper error",""
"","5020","verifySearchFunctionality","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","6920","emptyRequiredFieldsValidationTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","emptyRequiredFieldsValidationTest"
"","4052","verifySearchFunctionality","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
