"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4598","Submit form with valid data (without real submit)","","Mon Mar 09 22:23:10 UTC 2026","passed","Mon Mar 09 22:23:15 UTC 2026","","Contact form validation (Happy path only)","Submit form with valid data (without real submit)",""
"  As a visitor
  I want to submit the contact form without filling any fields
  So that I can see proper validation error messages","13439","Submit form with empty required fields","","Mon Mar 09 22:23:15 UTC 2026","broken","Mon Mar 09 22:23:28 UTC 2026","","Contact form validation - empty required fields","Submit form with empty required fields",""
"","5456","Invalid email or phone shows proper error","","Mon Mar 09 22:23:28 UTC 2026","broken","Mon Mar 09 22:23:34 UTC 2026","","Contact form - invalid inputs (email/phone)","Invalid email or phone shows proper error",""
"","1845","verifySearchFunctionality","UI Suite","Mon Mar 09 22:22:57 UTC 2026","failed","Mon Mar 09 22:22:59 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","1789","verifySearchFunctionality","UI Suite","Mon Mar 09 22:22:50 UTC 2026","passed","Mon Mar 09 22:22:51 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","4052","invalidEmailFormatValidationTest","UI Suite","Mon Mar 09 22:23:00 UTC 2026","broken","Mon Mar 09 22:23:04 UTC 2026","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","invalidEmailFormatValidationTest"
"","10888","successfullSearchAndContactFlowTest","UI Suite","Mon Mar 09 22:23:07 UTC 2026","broken","Mon Mar 09 22:23:18 UTC 2026","seleniumtestng.e2e.SearchAndContactTest","E2E","seleniumtestng.e2e.SearchAndContactTest","successfullSearchAndContactFlowTest"
"","1902","verifySearchFunctionality","UI Suite","Mon Mar 09 22:23:08 UTC 2026","failed","Mon Mar 09 22:23:10 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","2086","searchForNonExistentPropertyTest","UI Suite","Mon Mar 09 22:22:42 UTC 2026","failed","Mon Mar 09 22:22:44 UTC 2026","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","searchForNonExistentPropertyTest"
"","12408","emptyRequiredFieldsValidationTest","UI Suite","Mon Mar 09 22:22:42 UTC 2026","broken","Mon Mar 09 22:22:54 UTC 2026","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","emptyRequiredFieldsValidationTest"
