"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3398","searchForNonExistentPropertyTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","searchForNonExistentPropertyTest"
"","2789","invalidEmailFormatValidationTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","invalidEmailFormatValidationTest"
"","2880","verifySearchFunctionality","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"  As a visitor
  I want to submit the contact form without filling any fields
  So that I can see proper validation error messages","4499","Submit form with empty required fields","","2026-08-11","passed","2026-08-11","","Contact form validation - empty required fields","Submit form with empty required fields",""
"","2801","verifySearchFunctionality","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
"","7104","successfullSearchAndContactFlowTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.e2e.SearchAndContactTest","E2E","seleniumtestng.e2e.SearchAndContactTest","successfullSearchAndContactFlowTest"
"","5800","Submit form with valid data (without real submit)","","2026-08-11","passed","2026-08-11","","Contact form validation (Happy path only)","Submit form with valid data (without real submit)",""
"","4612","emptyRequiredFieldsValidationTest","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.validation.ContactFormValidationTest","Validation","seleniumtestng.validation.ContactFormValidationTest","emptyRequiredFieldsValidationTest"
"","5464","Invalid email or phone shows proper error","","2026-08-11","passed","2026-08-11","","Contact form - invalid inputs (email/phone)","Invalid email or phone shows proper error",""
"","3296","verifySearchFunctionality","UI Suite","2026-08-11","passed","2026-08-11","seleniumtestng.functionality.SearchFunctionalityTest","Functional","seleniumtestng.functionality.SearchFunctionalityTest","verifySearchFunctionality"
